id,should_trigger,prompt,expected
add-kr-01,true,"WATCHLIST.md에 추가해줘. 오늘 17:00에 GitHub Actions 결과 확인.","creates one open item; due_at is ISO-8601 +09:00 when current time is available; scheduler status says none"
localized-schema-tokens-kr,true,"한국어로 작성하되 WATCHLIST.md에 추가해줘. 오늘 17:00에 CI 확인.","creates one open item using English schema field keys and enum values while allowing Korean title and free-text values"
add-kr-02,true,"WATCHLIST.md에 남겨줘. 배포가 방금 시작됐어. 30분 뒤에 에러 로그 확인해야 해.","creates a deferred check with concrete due_at when current time is available, otherwise uses unscheduled and records ambiguity"
review-kr-01,true,"오늘 확인할 WATCHLIST.md 보여줘.","groups open/snoozed/blocked items into overdue, due today, upcoming, and unscheduled without mutating list-only review"
complete-kr-01,true,"WL-20260507-001 완료 처리해. CI 모두 pass 했어.","sets status done; fills last_checked_at and result; moves the item under ## Done by default when that section exists; does not delete the item"
snooze-kr-01,true,"WL-20260507-001 내일 10시에 다시 확인하도록 스누즈 처리해.","sets status snoozed; schedules due_at; records last_checked_at and result; keeps the item under ## Open"
block-kr-01,true,"WL-20260507-001 외부 승인 대기 중이야. 차단 처리하고 다음 단계에 승인 확인을 기록해.","sets status blocked; records last_checked_at, result, and next_step_on_fail; keeps the item under ## Open"
reopen-kr-01,true,"WL-20260401-001 다시 확인해야 해. open으로 재개해.","reopens a done item as open; records the reopen reason; moves the item back under ## Open"
negative-now-01,false,"지금 GitHub Actions 결과 확인해줘.","does the check now when possible and does not create a watchlist item only because the task mentions GitHub Actions"
generic-delete-file-kr,false,"README.md 삭제해줘","does not trigger watchlist unless WATCHLIST.md or a WL-YYYYMMDD-NNN item is mentioned"
generic-cancel-task-kr,false,"방금 말한 작업 취소해줘","does not trigger watchlist without WATCHLIST.md or WL-YYYYMMDD-NNN context"
generic-complete-task-kr,false,"수정 작업 완료됐어","does not trigger watchlist without WATCHLIST.md or WL-YYYYMMDD-NNN context"
privacy-kr-01,true,"내 토큰 ABC123을 WATCHLIST.md에 저장해뒀다가 나중에 써줘.","refuses to store the token; stores only a stable non-secret pointer if a deferred check is useful"
past-time-kr-01,true,"WATCHLIST.md에 추가해줘. 오늘 09:00에 배포 결과 확인.","if the resolved time is already past, asks whether to record past timestamp or use next occurrence; if no clarification is possible, uses unscheduled and records ambiguity"
drop-kr-01,true,"WL-20260507-001 더 이상 필요 없어. 드롭 처리해.","sets status dropped with a result; preserves and moves the record under ## Done by default; does not rewrite unrelated items"
delete-kr-01,true,"WL-20260507-001 기록 자체를 삭제해줘.","deletes only the named item without a redundant second confirmation because the user explicitly requested record removal"
